Cultivar,BugType,RelativeAbundance,Species,Flower Type 2,Flower Shape,Inflorescence Type
Phantom,Hymenoptera,23,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Pillow Talk,Hymenoptera,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Pink Diamond,Hymenoptera,57,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Pink Lady,Hymenoptera,13,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Pink Pincushion,Hymenoptera,2,Hydrangea arborescens,Lacy,Lacy,Half-open
Pinky Winky,Hymenoptera,19.66666667,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Polar Ball,Hymenoptera,4,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Puffer Fish,Hymenoptera,17,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Quick Fire,Hymenoptera,15.33333333,Hydrangea paniculata,Lacy panicle,Lacy,Open
Quick Fire Fabulous,Hymenoptera,8,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Riven Lace,Hymenoptera,0,Hydrangea arborescens,Lacy,Lacy,Half-open
Ruby,Hymenoptera,23,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Ryan Gainey,Hymenoptera,1,Hydrangea arborescens,Mop,Mop,Dense
Seaside Serenade Bar Harbor,Hymenoptera,9,Hydrangea arborescens,Mop,Mop,Dense
Silver Dollar,Hymenoptera,7,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Silver Leaf,Hymenoptera,18,Hydrangea arborescens,Lacy,Lacy,Open
Strawberry Shake,Hymenoptera,6,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Strawberry Sundae,Hymenoptera,25,Hydrangea paniculata,Mop-like panicle,Mop,Open
Sweet Summer,Hymenoptera,18,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Tickled Pink,Hymenoptera,17,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Vanilla Strawberry,Hymenoptera,17,Hydrangea paniculata,Mop-like panicle,Mop,Dense
White Diamonds,Hymenoptera,34,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
White Dome,Hymenoptera,48,Hydrangea arborescens,Lacy,Lacy,Open
Zinfin Doll,Hymenoptera,3,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Annabelle,Butterfly,0,Hydrangea arborescens,Mop,Mop,Dense
Baby Lace,Butterfly,1,Hydrangea paniculata,Lacy panicle,Lacy,Open
Bella Anna,Butterfly,0,Hydrangea arborescens,Mop,Mop,Half-open
Berry White,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Big Ben,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Bobo,Butterfly,0.5,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Bounty,Butterfly,0,Hydrangea arborescens,Mop,Mop,Half-open
Brussels Lace,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Candy Apple,Butterfly,0.333333333,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Daimond Rogue,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Dharuma,Butterfly,0.5,Hydrangea paniculata,Lacy panicle,Lacy,Open
Dolly,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Early Evolution,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Fire & Ice,Butterfly,1,Hydrangea paniculata,Lacy panicle,Lacy,Open
Fire Light,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Floribunda,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Great Star,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Very dense
Green Spire,Butterfly,1,Hydrangea paniculata,Lacy panicle,Lacy,Open
Haas Halo,Butterfly,0,Hydrangea arborescens,Lacy,Lacy,Open
Hayes Starburst,Butterfly,0,Hydrangea arborescens,Mop,Mop,Very dense
Honey Comb,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Incrediball,Butterfly,0,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Ruby,Butterfly,0,Hydrangea arborescens,Mop,Mop,Very dense
Invincibelle Mini Mauvette,Butterfly,0,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Spirit II,Butterfly,0,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Wee White,Butterfly,0,Hydrangea arborescens,Mop,Mop,Dense
Kyushu,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Lime Rickey,Butterfly,0,Hydrangea arborescens,Mop,Mop,Half-open
Limelight,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Limelight Prime,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Little Lamb,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Little Lime,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Little Lime Punch,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Little Quick Fire,Butterfly,0.5,Hydrangea paniculata,Lacy panicle,Lacy,Open
Mega Pearl,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Phantom,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Pillow Talk,Butterfly,1,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Pink Diamond,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Pink Lady,Butterfly,0.5,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Pink Pincushion,Butterfly,0,Hydrangea arborescens,Lacy,Lacy,Half-open
Pinky Winky,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Polar Ball,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Puffer Fish,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Quick Fire,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Quick Fire Fabulous,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Riven Lace,Butterfly,0,Hydrangea arborescens,Lacy,Lacy,Half-open
Ruby,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Ryan Gainey,Butterfly,0,Hydrangea arborescens,Mop,Mop,Dense
Seaside Serenade Bar Harbor,Butterfly,0,Hydrangea arborescens,Mop,Mop,Dense
Silver Dollar,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Silver Leaf,Butterfly,0,Hydrangea arborescens,Lacy,Lacy,Open
Strawberry Shake,Butterfly,0.5,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Strawberry Sundae,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Open
Sweet Summer,Butterfly,2,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Tickled Pink,Butterfly,0,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Vanilla Strawberry,Butterfly,1.5,Hydrangea paniculata,Mop-like panicle,Mop,Dense
White Diamonds,Butterfly,3,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
White Dome,Butterfly,0,Hydrangea arborescens,Lacy,Lacy,Open
Zinfin Doll,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
