,Trademark.Cultivar,Month,DaysinMonth,DaysRecordedInsectsPresent,DaysRecordedBlooming,AvgDaysInsects,AvgDaysBlooming,FirstDay20197.17.2019,LastDay2019,DaysPossible2019,FirstDay2020,LastDay2020,DaysPossible2020,FirstDay2021,LastDay2021(only surveyed til8/19/2021),DaysPossible2021,Color,Flower type,Notes
65,Pinky Winky,August,31,11,37,3.666666667,12.33333333,8/23/2019,8/31/2019,8,8/19/2020,8/31/2020,12,8/2/2021,8/19/2021,17,Pink-white,Lacy panicle,
66,Pinky Winky,September,30,11,53,3.666666667,17.66666667,9/1/2019,9/30/2019,29,9/1/2020,9/25/2020,24,,,0,Pink-white,Lacy panicle,
67,Pinky Winky,October,30,3,18,1,9,10/1/2019,10/19/2019,18,,,0,,,0,Pink-white,Lacy panicle,
68,Polar Ball,August,31,4,13,1.333333333,4.333333333,,,0,8/19/2020,8/31/2020,12,8/12/2021,8/13/2021,1,White,Mop-like panicle,
69,Polar Ball,September,30,3,22,1,7.333333333,,,0,9/1/2020,9/23/2020,22,,,0,White,Mop-like panicle,
70,Quick Fire,July,31,11,62,3.666666667,20.66666667,7/12/2019,7/31/2019,19,7/10/2020,7/31/2020,21,7/9/2021,7/31/2021,22,Pink,Lacy panicle,
71,Quick Fire,August,31,11,69,3.666666667,23,8/1/2019,8/31/2019,30,8/1/2020,8/31/2020,30,8/1/2021,8/10/2021,9,Pink,Lacy panicle,
72,Quick Fire,September,30,7,58,2.333333333,19.33333333,9/1/2019,9/30/2019,29,9/1/2020,9/30/2020,29,,,0,Pink,Lacy panicle,
73,Quick Fire,October,30,4,36,1.333333333,18,10/1/2019,10/19/2019,18,10/1/2020,10/19/2020,18,,,0,Pink,Lacy panicle,
74,Ruby,August,31,4,22,1.333333333,7.333333333,8/23/2019,8/31/2019,8,8/26/2020,8/31/2020,5,8/10/2021,8/19/2021,9,Pink,Mop-like panicle,
75,Ruby,September,30,5,30,1.666666667,10,9/1/2019,9/30/2019,29,9/1/2020,9/2/2020,1,,,0,Pink,Mop-like panicle,
76,Ruby,October,30,2,13,0.666666667,6.5,10/1/2019,10/14/2019,13,,,0,,,0,Pink,Mop-like panicle,
77,Silver Dollar,August,31,2,2,0.666666667,0.666666667,8/29/2019,8/30/2019,1,8/28/2020,8/29/2020,1,,,0,White,Mop-like panicle,Did by hand
78,Strawberry Shake,July,31,1,12,0.333333333,4,,,0,7/10/2020,7/21/2020,11,7/15/2021,7/16/2021,1,Pink-white,Mop-like panicle,
79,Strawberry Sundae,July,31,1,1,0.333333333,0.333333333,7/29/2019,7/30/2019,1,,,0,,,0,Pink-white,Mop-like panicle,Did by hand
80,Strawberry Sundae,August,31,1,6,0.333333333,2,8/1/2019,8/7/2019,6,,,0,,,0,Pink-white,Mop-like panicle,
81,Sweet Summer,August,31,5,29,1.666666667,9.666666667,8/23/2019,8/31/2019,8,8/19/2020,8/31/2020,12,8/10/2021,8/19/2021,9,White,Mop-like panicle,
82,Sweet Summer,September,30,2,44,0.666666667,14.66666667,9/1/2019,9/30/2019,29,9/1/2020,9/16/2020,15,,,0,White,Mop-like panicle,
83,Sweet Summer,October,30,1,18,0.333333333,9,10/1/2019,10/19/2019,18,,,0,,,0,White,Mop-like panicle,
84,Tickled Pink,August,31,3,22,1,7.333333333,8/23/2019,8/28/2019,5,8/19/2020,8/31/2020,12,8/5/2021,8/10/2021,5,Pink-white,Lacy panicle,
85,Tickled Pink,September,30,1,1,0.333333333,0.333333333,,,0,9/1/2020,9/2/2020,1,,,0,Pink-white,Lacy panicle,
86,Unique,August,31,1,2,0.333333333,0.666666667,8/29/2019,8/31/2019,2,,,0,,,0,White,Lacy panicle,calculated by hand
87,Unique,October,30,1,1,0.333333333,0.5,,,0,10/14/2020,10/15/2020,1,,,0,White,Lacy panicle,
88,Vanilla Strawberry,August,31,4,17,1.333333333,5.666666667,,,0,8/21/2020,8/31/2020,10,8/5/2021,8/12/2021,7,Pink-white,Mop-like panicle,
89,Vanilla Strawberry,September,30,1,20,0.333333333,6.666666667,,,0,9/1/2020,9/21/2020,20,,,0,Pink-white,Mop-like panicle,
90,White Diamonds,July,31,2,6,0.666666667,2,7/26/2019,7/31/2019,5,7/27/2020,7/28/2020,1,,,0,White,Mop-like panicle,calculated by hand
91,White Diamonds,August,31,2,30,0.666666667,10,8/1/2019,8/31/2019,30,,,0,,,0,White,Mop-like panicle,
92,White Diamonds,September,30,1,29,0.333333333,9.666666667,9/1/2019,9/30/2019,29,,,0,,,0,White,Mop-like panicle,
93,White Moth,July,31,1,1,0.333333333,0.333333333,7/30/2019,7/31/2019,1,,,0,,,0,White,Lacy panicle,
94,White Moth,August,31,1,1,0.333333333,0.333333333,,,0,,,0,8/5/2021,8/6/2021,1,White,Lacy panicle,
